feature,importance_0,importance_1,importance_2,importance_3,importance_4,importance
D_74_min,27.0,23.0,19.0,17.0,26.0,22.4
P_4_max,26.0,30.0,18.0,16.0,21.0,22.2
D_123_mean,23.0,23.0,19.0,27.0,19.0,22.2
D_130_mean,32.0,20.0,19.0,21.0,19.0,22.2
D_140_mean,26.0,19.0,25.0,16.0,25.0,22.2
D_124_last,24.0,23.0,18.0,22.0,24.0,22.2
D_141_max,17.0,27.0,19.0,22.0,25.0,22.0
R_9_mean,34.0,18.0,23.0,15.0,18.0,21.6
D_115_mean,27.0,21.0,20.0,23.0,17.0,21.6
D_41_max,26.0,16.0,24.0,17.0,24.0,21.4
D_56_min,20.0,27.0,26.0,20.0,14.0,21.4
D_123_std,21.0,19.0,25.0,23.0,18.0,21.2
